# z  x_e  x_H  x_He  Tmat
  8510.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.231924750000000022E+05
  8500.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.231652250000000022E+05
  8490.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.231379750000000022E+05
  8480.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.231107250000000022E+05
  8470.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.230834750000000022E+05
  8460.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.230562250000000022E+05
  8450.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.230289750000000022E+05
  8440.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.230017250000000022E+05
  8430.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.229744750000000022E+05
  8420.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.229472250000000022E+05
  8410.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.229199750000000022E+05
  8400.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.228927250000000022E+05
  8390.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.228654750000000022E+05
  8380.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.228382250000000022E+05
  8370.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.228109750000000022E+05
  8360.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.227837250000000022E+05
  8350.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.227564750000000022E+05
  8340.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.227292250000000022E+05
  8330.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.227019750000000022E+05
  8320.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.226747250000000022E+05
  8310.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.226474750000000022E+05
  8300.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.226202250000000022E+05
  8290.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.225929750000000022E+05
  8280.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.225657250000000022E+05
  8270.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.225384750000000022E+05
  8260.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.225112250000000022E+05
  8250.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.224839750000000022E+05
  8240.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.224567250000000022E+05
  8230.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.224294750000000022E+05
  8220.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.224022250000000022E+05
  8210.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.223749750000000022E+05
  8200.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.223477250000000022E+05
  8190.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.223204750000000022E+05
  8180.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.222932250000000022E+05
  8170.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.222659750000000022E+05
  8160.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.222387250000000022E+05
  8150.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.222114750000000022E+05
  8140.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.221842250000000022E+05
  8130.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.221569750000000022E+05
  8120.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.221297250000000022E+05
  8110.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.221024750000000022E+05
  8100.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.220752250000000022E+05
  8090.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.220479750000000022E+05
  8080.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.220207250000000022E+05
  8070.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.219934750000000022E+05
  8060.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.219662250000000022E+05
  8050.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.219389750000000022E+05
  8040.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.219117250000000022E+05
  8030.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.218844750000000022E+05
  8020.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.218572250000000022E+05
  8010.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.218299750000000022E+05
  8000.00  0.116785755172713834E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.218027250000000022E+05
  7990.00  0.116785741045714531E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.217754750000000022E+05
  7980.00  0.116785726386297029E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.217482250000000022E+05
  7970.00  0.116785711173361051E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.217209750000000022E+05
  7960.00  0.116785695384169230E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.216937250000000022E+05
  7950.00  0.116785678995802300E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.216664750000000022E+05
  7940.00  0.116785661983703903E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.216392250000000022E+05
  7930.00  0.116785644322590088E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.216119750000000022E+05
  7920.00  0.116785625985903607E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.215847250000000022E+05
  7910.00  0.116785606945995823E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.215574750000000022E+05
  7900.00  0.116785587174126704E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.215302250000000022E+05
  7890.00  0.116785566640282923E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.215029750000000022E+05
  7880.00  0.116785545312905015E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.214757250000000022E+05
  7870.00  0.116785523159251170E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.214484750000000022E+05
  7860.00  0.116785500145215337E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.214212250000000022E+05
  7850.00  0.116785476235145325E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.213939750000000022E+05
  7840.00  0.116785451391479000E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.213667250000000022E+05
  7830.00  0.116785425575562840E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.213394750000000022E+05
  7820.00  0.116785398746651481E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.213122250000000022E+05
  7810.00  0.116785370862180571E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.212849750000000022E+05
  7800.00  0.116785341877948667E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.212577250000000022E+05
  7790.00  0.116785311747571541E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.212304750000000022E+05
  7780.00  0.116785280422573123E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.212032250000000022E+05
  7770.00  0.116785247852476459E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.211759750000000022E+05
